"","Unknown","Acidaminococcus","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Cloacibacillus","Clostridium","Collinsella","Coprobacillus","Coprococcus","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Prevotella","Pseudomonas","Pyramidobacter","Ralstonia","rc4-4","Roseburia","Rothia","Ruminococcus","Sarcina","Sharpea","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC553008","1914","   0","   0","   0","  86"," 206","   7","   0","   0","  57","   0","   0","7998","   0","   0","1375","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","1111","   2","   0","   0","   0"," 274","   0","   0","   0","   5","   7","1462","   0","   0","   0","   0","2589","   6","   0"," 376","   0","   0","   0","   0","   0","   0","   0","   0","  92","   0","  53","   0","   0"," 165","   6","   0","   0","   0","   0","1065","   0"," 906","   0","   0","   5","   0"," 154","   0","   0","   2","   0"
"SC553010","1879","   0","   0","   0","  16","  67","   0","   0","   0","  16","   0","  31","1747","  53","   1"," 458","   0","   0","   0","  57","   0","   0","   0","  20","   7","   0"," 691","   3","   0","   0"," 690","  77","   0","  48","   0","   7","   0","2253","   0","   5","  10","   0","1312","   0","   0"," 213"," 777","   0","  15","   0","   3","   0","  44","   0"," 106","   0"," 432","   9","   0","   4","7573","   0","   0","   0","   0"," 567","   0"," 464","   0","   0","  29","   0","  28","   0"," 210","   0","   0"
"SC553015","2122","   8","   0","   0"," 504","  32","   0","   0","   0","   0","   3","   0","6501","   0","   6","1514","   0","   0","  18","   0","   0","   0","   0"," 219","   0","   0"," 581","   0","   3","   0","   0"," 229","   0","   0","  24","   0","   0","1110","   0","   0","   0","   0","3193","   0","  20"," 318","   7","   3","   0","  10","   0","   0","   0","  59","  95","   5"," 367","   0","   0","  79","  17","   0","   0","   0","   0"," 650","   0","2107","   0","   0","   0","   0","  14","   0","  90","   0","   0"
"SC553021","3024","   0","   0","   0","4988","   2","  13","   4","   1","   0","   0","   0","9423","   0","  25","  33","   0","   0","   0","   0","   0","   2","   0","  17","   0","   0","  45","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","  14","   0","   0","   0","   0","1395","   5","  80","   9","   0","   0","   0","   0","   0","   0","   0","   0","  99","   0"," 119","   0","   0","   4","   7","   0","   0","   0","   0","  53","   0"," 321","   0","   0","   0","   4","   1"," 219","  23","   0","   0"
"SC553022","1542","   0","   0","   0"," 562"," 100","   5","   0","   0","  61","   9"," 251","6759","   0","   0"," 805","   0","   0","   0","   3","   0","   0","   0","   0","  18","   0"," 476","   0","   0","   0","  15"," 172","   0","   0"," 407"," 813","   0","1264","   0","   0","   0","   0","2999","   6","  13"," 289"," 166","   0","   0","   0","   0","   0","   7","   0"," 134","   0"," 132","   0","   0","  65"," 313","  73","   0","   0","   0","1372","   0"," 630","   0","   0","   0"," 343","  79","  22","  14","   0","   0"
"SC553024","1543","   0","   0","   0","   0","  66","   0","   0","   0","  21","   0","   0","1766"," 133","   0"," 304","   0","   0","   0","   0","   0","   0","   0","  16","  36","   0"," 375","   1","   0","   0"," 401","  83","   0","   0","   0","   0","   0","2721","   0","   0","   0","   0","1049","   5","   0"," 231"," 225","   0","   0","   0","   2","   0","   0","   0"," 156","   0"," 429","   0","   0","   0","9102","   0","   0","   0","   0"," 737","   0"," 301","   0","   0","  10","   0","  24","   0"," 201","   0","   0"
"SC249386","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","19989","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC249389","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","19988","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC553034","1201","   0","   3","   0","1590","   0","   0","   0","   0","  31","   0","   0","  28","   0","   4","3964","   0","   0","   0","   0","   0","   0","   0","  24","  44","   2","1686","   0","   0","   0","  68"," 417","   0","   0","   0"," 169","   4","2592","   0","   0","   0","   0","2575","   6","   0","  30","  15","   0","   0","   0","   0","   0","   0","   0"," 119","   0","   4","   0","   0","  26","   0","   0","   0","   0","   0","2418","   0","2738","   0","   0","   0","   0"," 180","   0","   0","   0","   0"
"SC553038"," 957","   0","   6","   0"," 696","   0","   0","   0","   0","  43","   0","  97","  61","   0","   3","2537","   0","   0","   0","   0","   0","   0","   0","  48","  70","   4","1837","   0","   0","   0","  54"," 229","   0","   0","  59"," 180","   0","3004","   0","   0","   0","   0","2833","   0","   0"," 100","  54","   8","   0","   0","   0","   0","   0","   0"," 146","   6","   7","   0","   0","  18","   6","  20","   0","   0","   0","2763","   0","3242","   0","   0","   6","  87"," 753","   0","   0","   1","   0"
